,Unnamed: 0,TWEET,SCORE,SENTIMENT_LABEL,CALC_SCORE,CALC_SENTIMENT_LABEL
0,0,pakistan ghra tauq pakistan israel tasleem nahein kerta palestin kehta occupi palestin nan,0,negative,0.0,neutral
1,1,madarchod mull mathura dikha mullo hindu liy mara vo lass pais mag liy,0,negative,-4.5,negative
2,2,manya pradhan mantri mahoday shriman narendra pradhanmantri bann hardik badhai tahe dil,2,positive,2.6666666666666665,positive
3,3,krishna jcb full trend chal aa nan,2,positive,0.0,neutral
4,4,loksabha janta sirf vote de mp bjp without,2,positive,0.0,neutral
5,5,bhosdik pechvad tatti rahog bc nan,0,negative,-4.5,negative
6,6,love bhaijan father son bharat iambharat bharatthiseid best pic entir promot mashallah,2,positive,3.0,positive
7,7,pass abh deemagh islea googl deemagh banaya har tumhari tarh,0,negative,-3.0,negative
8,8,nolo weni anker gae weekend nan,2,positive,0.0,neutral
9,9,aimim lage mullo tumhr quran faad gyan kayal duniya allah khus,0,negative,0.0,neutral
10,10,omer muhammadpti pakhtoon haqooq jang punjab haqooq jung pak,0,negative,0.0,neutral
11,11,sale desh sage nahin sakt gaddar ink sath kadi kadi kanun,0,negative,-1.0,negative
12,12,saf babi sorri onlin hope sleep well though love nan,2,positive,2.5,positive
13,13,real life chor diy mene alreadi snake internet chorn m sad reason solmon nan,0,negative,-2.0,negative
14,14,mohsin dawartweet daikho kuch kha ker mar jao bayghayrat insantum ali wazir harami pakistan,0,negative,-4.0,negative
15,15,kuch media channel dikh ink upar prakaar crimin case shame type media channel nan,0,negative,-2.0,negative
16,16,abe mc nhi malum ammi mat chuda bsdk grahm stain dara singh mara adivasiy,0,negative,-3.6,negative
17,17,well chara chor chele news year old nan,0,negative,0.0,neutral
18,18,twitter baghair roza mumkin chutiyaap dusron per thopna band karo,2,positive,-0.5,negative
19,19,oh haha soldier read american god hardi har har thank remind everyon clusterfuck nan,0,negative,0.0,neutral
20,20,mp govt kamalnath wese video viral jism aapk shantidut dukandar,0,negative,0.0,neutral
21,21,dev da tmr new movi song ami tmk valobasi realli love lot nan,1,neutral,3.0,positive
22,22,abe bc le jayeng batah pakvwi babaji thullu,2,positive,0.0,neutral
23,23,hope see babi weekend high doubt ugh nan,1,neutral,0.5,positive
24,24,sakinaka tujh bhadi chinta aaj 2014 pehl bhadv beth tab tu dudh,0,negative,-3.0,negative
25,25,zammen chayiy bus dogma akhilesh tareef rahul pm dikh,1,neutral,0.0,neutral
26,26,jai shri ram jai shri krishna jai bajrang bali jai bholenath boln lage rukeng,0,negative,0.0,neutral
