,ENGLISH_TRANSLATION,SCORE,SENTIMENT_LABEL
0,parisian parisian israel house tok taslem no keert palestine keht o cc sub palestine nun,-0.296,negative
1,full mature hindu madarchod visible mullo li die they lass money mag li,-0.2732,negative
2,manya pradhan minister sir mr. narendra prime minister to become hardik more all delhi,0,neutral
3,krishna job full trend let&#39;s go come nun,0,neutral
4,vote without loksabh janta only give mp bjp,0,neutral
5,bc earthy pechwad that&#39;s it रहोग् nun,0,neutral
6,love father best pick enter भैजन् सोन् bharat इअम्भरत् भरत्थिसेइद् promotions mashallah,0.8555,positive
7,pass abh dm isla google dm banay her your thirteen,0,neutral
8,nun,0,neutral
9,ऐमिम् be engaged mullo you कुरन् fad ग्यन् कयल् the world allah happy,0.8074,positive
10,punjab omer muhammad pakhtons haqoq jung haqoq jung pucca,0,neutral
11,sale sage ink country no. can traitor सथ् kadi kadi कनुन्,0,neutral
12,hope sleep well though love white bubi sorri online nun,0.8481,positive
13,real life did already snake internet m reason chor i to steal the good solmon nun,-0.0772,negative
14,cousin parisian दवर्त्वेएत् look some b care die live बय्घय्रत् इन्सन्तुम् ali the reason harmi,-0.1779,negative
15,media channel ink case shame type media channel some look up type c रिमिन् nun,-0.4767,negative
16,my back gram stain sigh abe nhi मलुम् ammi mt pudding rate die अदिवसिय्,-0.5859,negative
17,well news year old variable chor the disciples nun,0.2732,positive
18,twitter band the height daily mookin चुतियाप् second per to add do do,0,neutral
19,oh soldier read american god thank remind everyone clusterfuck huh hardy her her nun,0.743,positive
20,got video vital mp kamalnath how body your शन्तिदुत् दुकन्दर्,0.296,positive
21,de new move song love lot the त्म्र् ami tmk valobasi really nun,0.6369,positive
22,bc abe take jayeng tell me the westernmost babji thullu,0,neutral
23,hope see weekend high doubt ugh bubi nun,-0.34,negative
24,beth tax sakinak you the wolf anxiety aaj pehle भद्व् you milk,-0.1779,negative
25,bus dogma paul pm zammen selection akhilesh taref look,0,neutral
26,she ram she krishna barring jai jai jai sacrifice jai bholenath to speak be engaged रुकेङ्,0.4019,positive
27,bass dart mark rao hindi your sekh पौग् said hindi,0,neutral
28,corrupt always you khot khor गन्ज् only what top leah they lant that patwari nun,0.2023,positive
29,sale today nxttakeoverxxv entrance mask nice even back side come soon eo quality nun,0.4215,positive
30,language youth critic च् pakage istem you nooni it&#39;s over poochhay aven a duty sahb nun,-0.2732,negative
31,gulwish news defend cairn कोशेश् care the way,0.4939,positive
32,noon boycott world cup remove attack arrest murali c hey till nesmani christmurthy nun,-0.7783,negative
33,ahmad lully khadi बतेन् do it big big,0,neutral
34,ashkenadamat khan the wash गुनहोन् mary however damn the bar pak damn momin momin nun,-0.6597,negative
35,beta leiter pad nafrat jais जहिल् phelat pet nhi conn c let&#39;s go rhi,0,neutral
36,one not one begin move favorite चोतिच्होति pictorial यादेइन्,0.4588,positive
37,manhood main oil price ali name tarya ander burning bta head the world,0,neutral
38,great news happen kick st jai भेएम् बहुजन् kumbakarna bay oz,0.6249,positive
39,love one person gave fuck dead nun,-0.5574,negative
40,zaini n झललत् dastno three aorak filled beyond behan ace compound,0,neutral
41,color india parisian pakistani head think अतन्किस्तन् nhi some addiction thick ghost good nun,0.1531,positive
42,ohio big fan want meet nun,0.3818,positive
43,leader diaz lant sent ह्न् you you harmi nun,0,neutral
44,slay serious segment segment pure fun cast make dont int lenak nonsense sense nun,0.6437,positive
45,gutta firs sale gale भोन्क्न् lg it&#39;s over leaf,0,neutral
46,world cup twitter man खुस्र् went learn per सथ् तलिअन् bajan जान्त् nun,0,neutral
47,pleas fan pleas pleas भैजान् a lot a lot bad yes life survive,0.128,positive
48,scene magic co heard sahil propos vedic dialogu inde न्त्,0,neutral
49,matas bhouji torah currently b you saying ludhk galloway one akhilesh bh,0,neutral
50,scratch today s defeat main kfc o money doob gone surfy चकार् अन्दाय्,-0.4588,negative
51,dsscampaignagainstdrugabus he entrance exam pop aj rhamt well ग्य् nun,0.2732,positive
52,muslin mubarak a qadar,0,neutral
53,bar product log choice product s the hole nhi the hole,0,neutral
54,damn wait new season iye intezaar khoobsurat boys mashallah c a न्त्,-0.4019,negative
55,love father best pick enter zation भैजन् सोन् bharat इअम्भरत् promotions mashallah,0.8555,positive
56,less log tax saheb jatt talbani harkat all masum marth ammi die jate,-0.5994,negative
57,elect message mb name jayatna bad karnam,-0.5423,negative
58,serious one best post seen bravo nd respect dhol nun,0.7906,positive
59,may bless us strong pure heart good manner give eye allah iman takw pieti allah nun,0.9217,positive
60,chilled man give big made laugh stock झ्त्क न्से c ओलोस् c अम्,0.5574,positive
61,thing pp want s transact s give take s r end su nun,0.0772,positive
62,log thus sanjeev poor world cup country walk see nun,-0.4767,negative
63,gin hindu muslin btag pooch to live ml usm ml which awadi sing,0,neutral
64,lie think buy new pair bc put shit charge ha मिनुत् nun,-0.296,negative
65,yeah glass pick main wali admi conn appki her nun,0.296,positive
66,free be the mahatm smell smadhi nhi will live vn smell akhi nun,0.5106,positive
67,india muslin come on s,0,neutral
68,boy age girl boy mine love girl m taken boy yes त्म्ह्रि त्म्ह्रि age,0.7845,positive
69,bow man ali zhaotay maseeh maseeh lenny स्य् kaffir jat,0,neutral
70,my sale sale sal take the more arrogant some day stop arrogant ill jayge,-0.8932,negative
71,than job upper india ik circar free give rhi work चहत्,0.5106,positive
72,yes variable declaration lolo how much gawhon death घत् that nun,-0.296,negative
73,good more ply bless pop save sumiran परमर्थ् ball bakshan dhan dhan s,0.8473,positive
74,pakistani girl photo without parisian pakistani girl kow loan ad do do heir recession gall loan,-0.4215,negative
75,unpack cool sword seen boi quo nun,0.3182,positive
76,journal cripption certify ok b jh day nun,0.296,positive
77,sir peasant drawn in best teacher current kohinoor praise afff,0.8316,positive
78,last check congress law order state subject mp circar nun,0,neutral
79,yeah notice ll daily quality do hi allah family,0.296,positive
80,pain home india country gaddro li years will be because bead minist,-0.5106,negative
81,sherman did smile ghost ghost delhi applogon let&#39;s talk,-0.2732,negative
82,nice joke landau yours घद्दरोन् teeth born wall इस्तिम् goods arrest usay,0.3818,positive
83,tax difference self sell disrespectful cancer fate jat hileg लेकिन्,-0.6597,negative
84,khan vote pm pm khan companion of you so alhamdulillah by magar companion well,0.2732,positive
85,sir c is = deduce branch kekin phew say me janta,0,neutral
86,even nice second s love amranna salute nun,0.7906,positive
87,more amitsh ash duty we,0,neutral
88,would bring great joy hear see  got  saying too randit des so nun,0.836,positive
89,document ask hair खयल् नझ्रोन् nehein pass pop janey केलेय् mushroom,0,neutral
90,one one jane virgin know straight right malefic telenowell nun,0.2263,positive
91,ply move dedepyard god cray bharat a chi because,0.2732,positive
92,wish brow birthday hit way together thankyou give music hippie money nun,0.4019,positive
93,watch tonight pm ac gawhi vow mad proof cárdia cheekh अर्य्दिगित्,-0.4939,negative
94,listen first too song fan ll sew nun,0.3182,positive
95,sera band jar team muscle vajh that&#39;s it fasd nhe let&#39;s go extreme पल्येर् main hand nun,0.5367,positive
96,clean public stung under स्क invisible abe lick c रिमिन् ghatiya nhi kr,0.4019,positive
97,do kung ह्न्द् p cheche ck bat mouth free jungkooki ह्न्द् malal eq huhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh nun,0.5106,positive
98,job today hope feel good wish would hotel room bubi amaz वते this,0.8176,positive
99,myth delhi happiness krni ghalib khyal well,0.6908,positive
100,r away share us r allah favorite honor give favorite the district d blessings allah खन्दन्,0.9313,positive
101,good one hero off ngk jump nun,0.7579,positive
102,channel media that&#39;s right hoag sayed water only appki look vern some sold out,0,neutral
103,pakistani pig gutta mix ez j dukkur gold child nun,0.3612,positive
104,ace barish friendship aye marz himself do date some khyal honor her will,0.7269,positive
105,fuck mean band neech cancer to keep more open up through hani,-0.836,negative
106,jay love you ak ayen you visible ग्य dgh face some bur look summons s ht pucca armi,0.6369,positive
107,birthday pray good health bright hippie bub vishwanath futur,0.7964,positive
108,good more thank new day pus bless pit save sumrin परमर्थ् buxo,0.8932,positive
109,voice around mean much ouh phew superbb realy salut,0,neutral
110,right india secular talk new absolute history इन्देपेन्द् inclus,0,neutral
111,thicccccccc confirm m one क्ष्द् rates finance huhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh nun,0,neutral
112,contrat sir lucknow shan miss bad on apn weyert gallantry profession will do jai india nun,-0.128,negative
113,cow week war guy st urine,-0.5994,negative
114,nun,0,neutral
115,gay to win asr opposition padosiyo bokhl surrey surrey alone,0.4215,positive
116,love man mind blow act tomorrow fear uffff delhi j.e.t. all,0.25,positive
117,main main group ri pori the world wet सथ् himself come people nun,0,neutral
118,half like self c enturi kr on thank you इत्न् li,0.6124,positive
119,beat plastic polls population encroachment country subs bad the problem jai india nun,-0.7351,negative
120,account obc beggar venchod भेएम्त् obc name bnkar in pudding now,0,neutral
121,pakistani girl photo without parisian pakistani girl fijkhan loan ad do do heir recession gall,-0.4215,negative
122,thank much short break place may protect the letter janab very allah family,0.6249,positive
123,bc c org let&#39;s go these,0,neutral
124,congratul contract keepitup note aksh years mil sorri,0,neutral
125,haqqani time q by hussein nickel die as earth burden traitor besharam nun,-0.7783,negative
126,like fresh hit peri day like today notch,0.743,positive
127,photo up bark pehle you blood dog let&#39;s go भग् this bandhar kahik nun,0,neutral
128,sir need bless wed wife sonya anniversaries pranam ashirvad,0.4215,positive
129,ak sir c nb c c nb c first speak up,0,neutral
130,five year main india change but main sir न्क्ष्त् because circar big badlav to do wali free humre kehn nun,0.6652,positive
131,act actor character oops naive kamal the heart ace of course abtk seven,0.4767,positive
132,congress vote रान्द् w randav रज्द् buri necklace giving sadhuvad nun,0.34,positive
133,afar character love play epic love spoiled pleas द्वन् stigma theatr story,0.8957,positive
134,log more jais do mazboori meet isi,0,neutral
135,public cheap death intoxicant gold memories tri bak हुमेइन् cheap mil jayegi nun,-0.5994,negative
136,proud part brilliant time great product team c ommer c e relays w c includ nun,0.9001,positive
137,bolt bc huh over chu pehle pet therefore pet let&#39;s go self,0,neutral
138,pago launch new show kalarikid love enthusiasm one saw dance littell च्होतभेएम्,0.7964,positive
139,r pakistani time england ace weeping hours allow the bar the same umm nun,-0.25,negative
140,want see s ok loksabh kanhai thoughts change country badlag student,0.3612,positive
141,now red plain cut red plain sleepless look surrey not worn will take surrey blow avasom nun,-0.0547,negative
142,cheap cut s far weapon win give of इहव् ak ak वन् bhattal,0.128,positive
143,day day slogan prove true afghan run away country be saved nun,0.6808,positive
144,elect bar elect commits media li abandon by a c c p bevakoff bn janta सथ् nun,-0.4215,negative
145,gutta dub stupid move wonder people to bemar beggar lamps hindi,-0.5267,negative
146,news congress sweet abp years mon filled coast saval duty duvar joke uran ar,0.6369,positive
147,pay slip bye bye evmscand and yes sister nhi chl then nik take i then gyi and nun,0.3182,positive
148,good more pledgeagainstcorrupt dhan dhan satguru asra pop pit nun,0.4404,positive
149,manmohan sigh preside post baton c onsid per silence hazar better neat for example nun,0.7184,positive
150,one india subs subs vic subs the world,0,neutral
151,kolkata campaigncal media sandbag angle etc channel ram ind prothom biswa aisob chotokhato gulo look sudhu jai dear cholch nun,0.3818,positive
152,certify rohatgi in father bohat neat teach batna sabko kisk spoon,0.4588,positive
153,miss crazy use bold old just some accidental memory,-0.1779,negative
154,pm mumtaz hindu bengal pure hindu be the threat give of course country get lost hot chuk,-0.6908,negative
155,love much insecure bc unique way ok absolute notch,0.5574,positive
156,certain beti of you of course father the memory extreme ho gui allah of you hosl the father,0.2732,positive
157,thank support thank thank strongwitheliza support angelmartin the corridor,0.8979,positive
158,rather cow meat convict j yes gand kaed clee pehle bnde the bun in bloom nun,0.4019,positive
159,proud moment ganjam student dish ganjam score ideal school,0.7579,positive
160,wicket wicket world cup the westernmost v jayette ajj j.e.t. ग्य wali चव्ल्,0,neutral
161,entr sir eye love sir my khosi mqm hoag front muji repli,0.6369,positive
162,love said rat newgfkitalsshm lungi repli nun,0.6369,positive
163,oop by surgeri free nun,0.5106,positive
164,nice manna manna nice like very nun,0.7964,positive
165,cm chief r wait of you deupati minist cb bn j here nun,0,neutral
166,by bc j tabes pichwad j.e.t. water position पिच्वाद् the place mouth hug nun,0.4767,positive
167,diaz bowl expert wide ball martyr out wahb only nun,0,neutral
168,world cup call india england australia nickel day sayed off ay bolt free ayg semifin nun,0.5106,positive
169,pledgeagainstcorrupt good afternoon bless us give us power master save nun,0.836,positive
170,nice see group people maybe contrat guy whoso tire year bbye nun,0.4215,positive
171,media surgical strike as much as bjp li discussion uttan himself bjp bjp li,-0.128,negative
172,siasat ravadari understand daily dead iftar sam nun,-0.6486,negative
173,पत्रग् first the deep conan take it kr what fame cabo,0.4404,positive
174,india around rajasthan jai reissue bub jai sold out,0,neutral
175,do video much better garnish neat banay dark nun,0.7096,positive
176,pay head sherry tasli dilsay munsir vern sherry do august post some nun,-0.1027,negative
177,gandhi om islaia armed mant ahins vadi today,0,neutral
178,wrong love sleep no nun,-0.0258,negative
179,road compound me arah solution me improve action book j per,0.6369,positive
180,reject his kejriv himself edu c minist kejriv himself the cord,-0.4019,negative
181,make gentle nice someone life the moon railt city zort per nun,0.6908,positive
182,sex cool hath hume live nikah ose fell who look right of course nun,0.3182,positive
183,sub fault light band bak हर्कतोन् buzz nhi no gay jaws kr and,-0.5994,negative
184,x cm shil दिक्षेत् to do feku annaji deception give nun,-0.4404,negative
185,result sigh etc लेकिन् इत्न् kharab kut the dwarf harmi handsome gold angry,0,neutral
