ROMANIZED_WORD,SCORE
khushanaseeb,3
khushnaseeb,3
badanaseeb,-3
badnaseeb,-3
grhaheen,-2
khushaboodaar,2
khushboodar,2
khusbudar,2
durgandhayukt,-2
asanyojit,-1
mushkil,-2
muskil,-2
mitrataapoorn,3
phaladaayee,4
phaldayi,4
phaldayee,4
faldayee,4
faldayi,4
phalaheen,-3
viphal,-4
beaulaad,-3
bharapoor,2
khaalee,-1
khali,-1
khaali,-1
svasthata,2
swasth,2
khilaaph,-2
khilaaf,-2
bhala,2
dushsheel,-3
beqadr,-2
faulaadee,3
anaupcharik,-2
mrut,-4
acha,2
achha,2
achcha,2
badiya,3
badhiya,3
badhia,3
badia,3
saubhagyashali,4
saubhagya,4
khushkismat,4
naseebwala,3
bhagyavaan,3
bhagyawaan,3
bhagyashali,3
,
durbhagyashali,-3
abhaga,-3
bhagyaheen,-3
bhagyahin,-3
manhoos,-4
manhus,-4
badkismat,-3
mandbhagya,-3
beghar,-2
sughandhit,3
sughandh,3
khusboodar,3
badbudar,-3
badboodar,-3
durgandhit,-3
durgand,-3
durgandh,-3
taaza,1
baasi,-2
baansi,-2
baans,-2
kathinai,-2
kathin,-2
aphal,-3
afal,-3
asaphal,-3
asafal,-3
nakamyaab,-3
nakam,-2
nakaam,-2
niphal,-2
tandurust,2
tandurusti,2
durgudi,-3
durguni,-3
aguni,-3
apguni,-3
khota,-3
virudh,-2
virodhi,-3
sajjan,2
shareef,2
sharif,2
sadguni,2
nek,2
kubudhi,-3
dushil,-3
badmijaz,-3
nikama,-4
nikamma,-4
nithala,-4
bekaar,-3
bekar,-3
faltu,-2
faltoo,-2
kator,-2
kathor,-2
kathorhrudya,-3
kathorridya,-3
nasheela,-2
nashedar,-3
nashedaar,-3
haanikarak,-3
hanikarak,-3
nuksan,-3
nuksaan,-3
nuksandeh,-3
nuksandayi,-3
anarth,-3
anarthkari,-3
apman,-3
apmaan,-3
apnmanjanak,-3
svasth,2
swastha,2
nirog,2
changa,3
kathorhridya,-3
kathorhriday,-3
krupa,2
daya,2
dayapurvak,2
sidhantiya,2
sidhantvadi,2
naraazgi,-3
naraaz,-3
naraz,-3
naaraz,-3
narazgi,-3
narazgipurvak,-3
nakhushi,-3
nakhush,-3
hatya,-4
katal,-5
katl,-5
thokar,-3
thukrana,-2
thukra,-3
sangharsh,-2
vrudhi,2
jeetna,3
jeet,3
vijay,3
har,-3
harna,-2
girna,-2
nasht,-3
naash,-4
ujaad,-3
ujaadna,-3
ujadna,-3
marna,-4
maarna,-4
pitai,-3
todna,-3
khushboo,2
khusbhbu,2
khush,3
jalana,-3
jalaana,-3
jalan,-3
prem,3
anurag,3
pyar,3
pyaar,3
pyaara,3
pyaari,3
pyaare,3
mohabat,3
mohabbat,3
ishq,3
isq,3
lagan,3
bhay,-2
bhayanak,-3
khauf,-3
dar,-3
darr,-3
darana,-3
darna,-3
tras,-3
dehshat,-4
deshat,-4
,
pyara,3
pyari,3
pyare,3
dara,-3
bhaybeet,-3
bhaybit,-3
krodh,-3
gussa,-3
gusa,-3
aakrosh,-3
rosh,-3
akrosh,-3
bura,-3
khalna,-3
khal,-3
dukh,-3
dukhi,-3
nazuk,-2
chintajanak,-3
chinta,-3
chintniy,-3
chintit,-3
rusht,-3
aprasann,-3
aprasan,-3
prasann,3
pasand,3
pasandita,3
khinn,-3
khafa,-2
khapha,-2
sath,2
saath,2
sahara,2
dubar,-2
