,ENGLISH_TRANSLATION,SCORE,SENTIMENT_LABEL
0,"pakistan is not a part of israel, it is not a palestinian state, it is not a palestinian state, it is not a palestinian state.",0,neutral
1,"madarchod mulla was not seen as mathur, when mulla insisted on hinduism",0,neutral
2,hon&#39;ble prime minister shri narendra modi will do his best to become the prime minister.,0.6369,positive
3,krishna is not running full circle,0,neutral
4,the lok sabha was only voting for modi and not for any bjp.,0,neutral
5,bhosdik tumpechvad ki tatti hi rahog b nan,0,neutral
6,lowe u bhaijaan. ?? fther + sona bharat iambharat bharatthiside bastp cnter promoter,0.2168,positive
7,"your choice is not done, but your goal has been made for isla goggle",0,neutral
8,nolo veni anker gaye weekend ?????????? nun,0,neutral
9,"keep up the good content, you idiots.",0.4404,positive
10,"om muhammanti pakhtoan&#39;s title is not born, punjab&#39;s title",0,neutral
11,"these people can never be close to the country, they are traitors.",0,neutral
12,say baby sorry online hope sleep well though love nan,0.836,positive
13,reallife has not stolen any logos from the internet. &#39;,0.3875,positive
14,mohsin davartveet daikho aur kuchh ker marjo baighayrat insantum aur ali wazir harmi ho pakistan,0,neutral
15,the kuchmedia channels show that there is no such thing as a reminder of the above media channels.,-0.296,negative
16,abe mc nhi malum ammi mat chud bdk planet stan ko dar singh ne die adivasi,-0.5994,negative
17,the disciples of the wheelchair thief are never old,-0.5267,negative
18,it would not be possible for you to do this every day without stopping.,0.1139,positive
19,oh hata soldier read american god hard had had thank remind everyone clusterfuck nan,0.4939,positive
20,mpgovt kamalnath ki hwese akvideo rare jism apk shantidut bhai ek dukandar,0,neutral
21,devd tmrnevmovi song ami tmk vlobsi really love ??? lot ???????? nun,0.7545,positive
22,what are you doing? paqwi babji ki thullu ??,0,neutral
23,hope see baby weekend high doubt ?? ugh nan,-0.4137,negative
24,you may be worried about your baby from today until 2014.,-0.296,negative
25,isco zameen chiyiyya busshogam is sometimes like akhilesh ki taref karte and see sometimes,0.3612,positive
26,jai shri ram jai shri krishna jai bajrang bali jai bholenath! ! ! we don&#39;t stop talking,-0.4724,negative
27,rao hindi tumhari bass ki nahi nahi seek poogdart ho kahin hindi merki hi nahi,0,neutral
28,hamyattu khot khor c orrupt ganj ki bhi kerthi kiya ukhr liya unhanne lant tere te patwari nan,0,neutral
29,to sale today nxttakeoverxxv entrance mask quality nice ???? even back side come soon nan,0.5803,positive
30,"if you have any questions or concerns, please feel free to contact me.",0.6808,positive
31,gulvishni is trying to defend the nevs.,0,neutral
32,murali noonc are boyc ottworldc uptillnesmani recav attc krishnamurthy arrest nunn,-0.34,negative
33,ahmad 91961 ?????? lulli hoiti hai na khadi baateen karlo badi badi,0,neutral
34,dhoki ashq-e-nadamatne gunhon ko meretar hua daman bar pak daman ho gay momin khan momin nan,0,neutral
35,"i don&#39;t know how to spread hate, i don&#39;t know what is going on.",-0.5719,negative
36,one favorite,0.4588,positive
37,mansoor ali ter namtary ander ki jalanta raha hai sari duniya main oil prica,0,neutral
38,jai bheem graves neves bahujan kumbkarna be c oz happen,-0.296,negative
39,u love one person gave fuck u dead - ) nan,-0.5574,negative
40,it is beyond the eyes of the world that dastno is beyond doubt,-0.3612,negative
41,c olor tum india wale sari yahi sochti ki pakistanvele atankisthan hr parnhi kuch log lagti hthik pakistani bhut achi han,0,neutral
42,ohio that big fan want meet nan,0.3818,positive
43,cursed are you who are not harmed,0.3724,positive
44,dont slay ?????????? into serious nasi geneva segment to segment pure fun 80 % nonsense cast make sens nan,0.3094,positive
45,the dog barked and firsle hugged him,0.4019,positive
46,the world has never lost a man who doesn&#39;t know how to learn to play.,0.5207,positive
47,play on my life,0.34,positive
48,scanne sahil proposvedic dialogu magicinde ozn&#39;t heard,0,neutral
49,bhoji tohra ka halb tu kahe ludhak galu ek matlab akhileshva,0,neutral
50,todays&#39; spheyat - money not paid in the face of scattering cfc,0,neutral
51,dsc ampagnagnstdrugbuspp ji ajmer phd entrancxamth apji ki rehmt se bahut ach ho gyan,0,neutral
52,congratulations to all muslims ??????,0.7059,positive
53,r b c k b a pro b c n b k n b k n b k i b k b k b k b h h pro pro t,0,neutral
54,iy your intzar tha damn! ! ! ! ! what is khoobsurth? c n&#39;t vat nev seson,-0.5951,negative
55,zation09 lowe u bhaijan fther + son bharat iambharat bastc cnter promotion promhlaha ?????,0.3527,positive
56,saheb teer jat talbni jeshark qqqa kar kesum ko kum murt tabte ammi ke mate jaate,0,neutral
57,there are no bad deeds in the name of god,0.6059,positive
58,who serious one best post seen bravo nd respect nan,0.7906,positive
59,may allah bless us strong man tasha piti pure heart good manner ?? a allah give eye se nan,0.9268,positive
60,chilled man give big mitka nsecoloscam made laugh stock,0.5574,positive
61,u thing pp u ardor u want 's transact 's give & take u 's u r s nan,0.0772,positive
62,don&#39;t look down on your country&#39;s logo.,0,neutral
63,sing this song,0,neutral
64,hata lie think buy new pair bc put shit charge minute ?? nan,-0.6072,negative
65,so who is this glassvali admi who is appki harpiman. ? nun,0,neutral
66,mumt bano mahtam ghandhi ki smdhi pe nhi jayegi kyu van ghandhi ji ke akhi nan,0,neutral
67,india modi aan ki bad muslim,-0.5423,negative
68,boyeye next age hymn ???? april 14 ??? boy minne lowe ????? girl mtkeen ?? boy abhi tamhri umer he,0.3527,positive
69,there is no such thing as a 9-year-old zhootay maseeh.,-0.296,negative
70,mc is ready to take more pride than ever,0.6361,positive
71,pathan 14 iktoh sarkar jobni dehi upper se apna indiya ke logkam karna nahi chaht,0,neutral
72,hunter ghotalmeinvi laloo is a witness to the death toll.,-0.5994,negative
73,??? god morn pop g please bless save sumiran parmarthk balbakshan ji,0.8732,positive
74,what do you do?,0,neutral
75,boy do unpack cool sword seen nan,0.3182,positive
76,"however, it is not possible to say for sure.",0.3182,positive
77,sir prashant dhawan kohinoor studi ik best teacher c urrent aff,0.6369,positive
78,last check up congress i makar had law order state subject nan,0,neutral
79,these are the things that you do not harm us every day.,0.431,positive
80,5 years will be too much for the country&#39;s traitors because home minister india is dead ???? ??????,-0.7399,negative
81,?? acto you people ?? shame on you? let&#39;s talk about the ghost&#39;s heart.,0.4696,positive
82,nicke joke tamhare ghaddaron ko dand janywal hai landayak istim mal pakkar hai ussay,0.296,positive
83,the inner self is not sold until the disgraceful cancer is gone.,-0.6597,negative
84,khan sahab apko vote di so that your aam bap bhi alhamdulillah bap bani b pam ?????? magh khan sahab ab ghabrahat rahi,0,neutral
85,"only from me / c on 22-08-2014, t111180 / = dedu has been made, but the branch said that i did not generate",0,neutral
86,अम्रन् एवन्नि c ए से c ओन्द् स्म्ह् ?? salamlove ?? nun,0,neutral
87,"yours sincerely, amit shah does not believe that we are like modi.",0.6808,positive
